split,ticker,model,target,rows,mae,mse,rmse,r2,mean_error,error_std,max_absolute_error
Train,AA,Random Forest,next_open,5000,0.1459395844269912,0.15628491466562205,0.3953288690010155,0.9997726709324737,-0.0027378085140309398,0.3953193886848488,8.11245151503526
Train,AA,Random Forest,target_return,5000,0.00276520872613888,4.353784991931856e-05,0.0065983217502118335,0.0008160893880304609,4.134046786746739e-05,0.006598192243716082,0.1074404643927552
Train,AA,Extra Trees,next_open,5000,0.1457824277102075,0.15644564972555794,0.3955321096011776,0.9997724371303094,-0.0047969485997884235,0.395503020228277,8.08908687462528
Train,AA,Extra Trees,target_return,5000,0.002754955371450058,4.353072854092084e-05,0.006597782092561169,0.000979523428286777,1.397890228742471e-06,0.006597781944473745,0.10763182504906656
Train,AA,XGBoost,next_open,5000,0.14577910878895017,0.15634463896659506,0.39540439927572263,0.9997725840586402,-0.004782810121736442,0.39537547179097293,8.087070269873948
Train,AA,XGBoost,target_return,5000,0.00276380914266766,4.357351902296042e-05,0.006601024088954715,-2.50855676786621e-06,1.0454968763105699e-05,0.006601015809448465,0.1076409066501205
Validation,AA,Random Forest,next_open,2335,0.3807582748250417,0.4202017386112611,0.6482296958727369,0.9993723746050529,-0.04099172971632613,0.6469323123064149,5.668873686783769
Validation,AA,Random Forest,target_return,2335,0.009464513210583905,0.00024152158697924006,0.015540964802071976,-0.010526715391596886,-0.001090960182752676,0.015502625353755033,0.19874178591157488
Validation,AA,Extra Trees,next_open,2335,0.3808622830696502,0.4196525057816241,0.6478059167541033,0.9993731949549943,-0.04792923002112157,0.6460304131317708,5.687312733978359
Validation,AA,Extra Trees,target_return,2335,0.009465219541328621,0.0002397481191988225,0.015483801832845269,-0.003106523294431396,-0.001275081532879734,0.015431211432785554,0.1869163074511801
Validation,AA,XGBoost,next_open,2335,0.3809918383664429,0.4199587427426667,0.6480422383939697,0.9993727375506669,-0.04923732455034132,0.6461690402779996,5.683791143041162
Validation,AA,XGBoost,target_return,2335,0.009473618343035962,0.00024077097160514583,0.01551679643499733,-0.007386139437319583,-0.0013286568415391707,0.015459807327472649,0.19007870278909267
Test Unseen,BIIB,Random Forest,next_open,2322,2.4904085101794355,63.12026977460244,7.9448266044390445,0.9713967005917042,-0.5496269694110906,7.925792072032826,137.99235053416405
Test Unseen,BIIB,Random Forest,target_return,2322,0.008863760930636098,0.0009038230407274432,0.03006364982378958,-1.4188224823427111,-0.0023269481868212253,0.029973460808910484,0.4467506745427489
Test Unseen,BIIB,Extra Trees,next_open,2322,2.041846632379482,29.145760973121646,5.398681410596633,0.9867924371905606,-0.06167246400493934,5.398329137826371,98.14984348510706
Test Unseen,BIIB,Extra Trees,target_return,2322,0.007067308478989664,0.0003749132402443763,0.01936267647419582,-0.003347484592971961,-0.0004255357400606414,0.019357999885791594,0.4304712648989564
Test Unseen,BIIB,XGBoost,next_open,2322,2.0273250295534284,29.068162077107477,5.391489782713816,0.9868276015595402,-0.05369470864584046,5.391222398989947,98.12719292553084
Test Unseen,BIIB,XGBoost,target_return,2322,0.007010062340883435,0.00037381248063816556,0.01933423080027146,-0.00040161802044669237,-0.00038738812301537486,0.019330349481587555,0.4304647173651641
