split,model,target,rows,mae,mse,rmse,r2
validation,RandomForest,target_return,74720,0.007448607550832138,0.0001972851759760304,0.014045824147269906,-0.003243547963579063
validation,RandomForest,next_open,74720,0.32287618269810026,1.5521716698803645,1.2458618181324783,0.999902309271024
validation,ExtraTrees,target_return,74720,0.00743970459153374,0.00019651942016808151,0.014018538446217619,0.0006505082919890937
validation,ExtraTrees,next_open,74720,0.32238185200368147,1.5356459028527747,1.2392118070986795,0.9999033493713293
validation,XGBoost,target_return,74720,0.007440352244924297,0.00019674829918761048,0.01402669951156046,-0.0005133977058673356
validation,XGBoost,next_open,74720,0.32237189195674343,1.5259464036942791,1.2352920317456433,0.9999039598393348
validation,Naive,target_return,74720,0.007442815173205809,0.0001968600907936272,0.01403068390327525,-0.001081885464250032
validation,Naive,next_open,74720,0.32254735953802727,1.52596967562991,1.2353014513186285,0.9999039583746435
test_seen,ExtraTrees,target_return,73842,0.007731593914749496,0.00026513608629947035,0.016282999917075183,0.018715880529283635
test_seen,ExtraTrees,next_open,73842,0.46862122130159195,1.0099589561665725,1.0049671418342854,0.9997333730417439
test_seen,Naive,target_return,73842,0.00774154637017108,0.0002702879769725865,0.016440437250042544,-0.0003515673362175509
test_seen,Naive,next_open,73842,0.46935641896440244,1.0123063602546645,1.0061343649109022,0.9997327533321924
test_unseen,ExtraTrees,target_return,17739,0.007213543567166667,0.0001856280669208591,0.013624539145265027,-0.0012435034630962072
test_unseen,ExtraTrees,next_open,17739,0.7658416036483171,5.106161750540428,2.259681780813491,0.9993978450390525
test_unseen,Naive,target_return,17739,0.007213973512947327,0.0001855009404622824,0.013619872997289012,-0.0005578068285325699
test_unseen,Naive,next_open,17739,0.7645504838470487,5.074035408115049,2.2525619654329265,0.9994016336061629
