ticker,date,close,sentiment_mean,news_count,predicted_target_return,predicted_next_open
AA,2023-12-28,34.54999923706055,0.0,0.0,0.0004083518105602542,34.564107791803856
AEO,2023-12-28,21.32999992370605,0.0,0.0,0.0003133399728234709,21.33668346530247
AIG,2023-12-28,67.87000274658203,0.0,0.0,0.00030734367042040296,67.89086216233761
AMT,2023-12-28,217.1600036621093,0.0,0.0,0.00030868919660857595,217.22703860917528
BIIB,2023-12-28,260.5799865722656,0.0,0.0,0.00031129664338305687,260.6611042474184
BSX,2023-12-28,56.27999877929688,0.0,0.0,0.00030343341686478985,56.29707601162763
CAT,2023-12-28,296.8800048828125,0.0,0.0,0.00031418581381854866,296.973280368753
CI,2023-12-28,299.3999938964844,0.0,0.0,0.0003599449078797504,299.5077613997066
CMCSA,2023-12-28,44.119998931884766,0.0,0.0,0.0003065041837356882,44.133521896143804
CMG,2023-12-28,2278.3798828125,0.0,0.0,0.0003108327342391513,2279.08807786111
COP,2023-12-28,116.5,0.0,0.0,0.0003087974475189313,116.53597490263596
CSX,2023-12-28,34.7400016784668,0.0,0.0,0.00030231188291927316,34.750503993786836
DFS,2023-12-28,112.56999969482422,0.0,0.0,0.00030476289531241777,112.60430685385653
DISH,2023-12-28,5.659999847412109,0.0,0.0,0.0005013358918759828,5.66283740848363
DUK,2023-12-28,96.91999816894533,0.0,0.0,0.00030739562839397105,96.9497909526864
EA,2023-12-28,136.75999450683594,0.0,0.0,0.0003017783611921733,136.8012657138549
EBAY,2023-12-28,43.470001220703125,0.0,0.0,0.0003064099324293012,43.48332086083986
EWJ,2023-12-28,64.04000091552734,0.0,0.0,0.00029054248791782753,64.0586072567196
FCX,2020-04-01,6.309999942779541,0.9265368,1.0,0.0010629719777947614,6.316707295898603
FDX,2023-12-28,253.5800018310547,0.0,0.0,0.0003407250113767507,253.6664028800635
FSLR,2023-12-28,173.22000122070312,0.0,0.0,0.0003447097995196724,173.27971185259673
GILD,2023-12-28,81.13999938964844,0.0,0.0,0.0003110723019593683,81.16523979603954
GLD,2023-12-28,191.47000122070312,0.0,0.0,0.0003065389810988484,191.5286942397883
GME,2023-12-28,18.06999969482422,0.0,0.0,0.0003742845696744665,18.076763016884012
GRPN,2023-12-28,12.899999618530272,0.0,0.0,0.0003960925244152019,12.905109211944131
HAL,2023-12-28,36.209999084472656,0.0,0.0,0.00030958221534408976,36.22120905620683
KO,2023-12-28,58.75,0.0,0.0,0.0002869911912151393,58.766860732483885
KR,2020-04-01,30.5,0.53923905,5.0,0.00036424503707039235,30.511109473630647
KSS,2023-12-28,29.31999969482422,0.0,0.0,0.0003548880733232737,29.330405013025754
MRK,2023-12-28,108.7699966430664,0.0,0.0,0.0003057937321051421,108.80325782628096
MS,2023-12-28,93.63999938964844,0.0,0.0,0.00030916909642965867,93.66894998364941
MU,2023-12-28,86.0,0.0,0.0,0.0003235908007090833,86.02782880886099
NOK,2023-12-28,3.369999885559082,0.0,0.0,0.0003032308020426067,3.3710217733272634
NWSA,2023-12-28,24.6299991607666,0.0,0.0,0.0002998045194487573,24.637383345829015
ORCL,2023-12-28,106.25,0.0,0.0,0.00035212110542939,106.28741286745188
PBR,2023-12-28,16.030000686645508,0.0,0.0,0.00031181249441320684,16.034999041145056
PEP,2023-12-28,169.38999938964844,0.0,0.0,0.00029046653140211054,169.43920151522534
QCOM,2023-12-28,145.86000061035156,0.0,0.0,0.0003010862929284656,145.9039170572219
QQQ,2023-12-28,411.2999877929688,0.0,0.0,0.00028429764927205927,411.416919412644
SIRI,2020-07-02,5.840000152587892,0.0,0.0,0.000320821144748549,5.841873748122177
SLB,2020-07-02,17.979999542236328,0.0,0.0,0.00035758362357934427,17.9864288956246
SPWR,2023-12-28,4.909999847412109,0.0,0.0,0.0007872313209999933,4.913865153078097
TJX,2023-12-28,93.23999786376952,0.0,0.0,0.00030934024715953385,93.26884074775384
TRV,2023-12-28,189.3300018310547,0.0,0.0,0.00030656399306882605,189.38804359242374
TSN,2023-12-28,53.66999816894531,0.0,0.0,0.0003165582078418213,53.68698784738054
TXN,2023-12-28,171.72000122070312,0.0,0.0,0.0003088674326307604,171.77303993661153
USO,2023-12-28,67.18000030517578,0.0,0.0,0.0003171013810270028,67.20130317604995
VMW,2023-11-21,142.47999572753906,0.0,0.0,0.0003511726178544522,142.53003080063058
WDC,2023-12-28,52.93000030517578,0.0,0.0,0.00030848015048821914,52.946328159635264
WFC,2023-12-28,49.47999954223633,0.0,0.0,0.00031045960894198285,49.495361083544665
