lookback,fold,mae
1,1,0.0050265697242588905
1,2,0.005448594651638339
1,3,0.0076719697520511165
3,1,0.004886424928306335
3,2,0.005433390644398302
3,3,0.007655818840648809
7,1,0.004403480550776774
7,2,0.005369746792869017
7,3,0.007629296518159802
15,1,0.003976516007675042
15,2,0.0053057251433810525
15,3,0.0076041550586338075
30,1,0.003929692385077707
30,2,0.005376348789048882
30,3,0.007609432538309882
