model,trial,value,state,cv_std,fold_mae,duration_sec,params
XGBoost,0,0.0054438762787033974,TrialState.COMPLETE,0.0015825210718293306,"[0.003746237718474667, 0.005029732018847518, 0.0075556590987880074]",1.175669,"{""objective"": ""reg:absoluteerror"", ""max_depth"": 6, ""min_child_weight"": 2.716205044866802, ""subsample"": 0.6201975341512912, ""colsample_bytree"": 0.5761376254756898, ""gamma"": 3.4647045830997407, ""reg_alpha"": 0.004245867573059569, ""reg_lambda"": 2.124280213720889}"
XGBoost,1,0.005443792254847605,TrialState.COMPLETE,0.001582545454504909,"[0.00374613319828994, 0.005029633078059355, 0.007555610488193521]",1.14625,"{""objective"": ""reg:absoluteerror"", ""max_depth"": 3, ""min_child_weight"": 3.0000746392781066, ""subsample"": 0.6325320294340453, ""colsample_bytree"": 0.686909009331792, ""gamma"": 2.0990257265289514, ""reg_alpha"": 0.0002116078341144995, ""reg_lambda"": 0.023360223531559872}"
XGBoost,2,0.005588081454461196,TrialState.COMPLETE,0.0015113454083940912,"[0.003974666897929953, 0.005180738685656817, 0.007608838779796819]",0.877746,"{""objective"": ""reg:squarederror"", ""max_depth"": 4, ""min_child_weight"": 6.016769826387395, ""subsample"": 0.9033291826268561, ""colsample_bytree"": 0.6398532019712619, ""gamma"": 2.0569377536544464, ""reg_alpha"": 0.0036389994990491154, ""reg_lambda"": 0.0016529856983237869}"
XGBoost,3,0.005591083738025037,TrialState.COMPLETE,0.0015093238530025776,"[0.003975107422333486, 0.005191366157618821, 0.007606777634122805]",0.738366,"{""objective"": ""reg:squarederror"", ""max_depth"": 8, ""min_child_weight"": 11.621952363820153, ""subsample"": 0.9137788066524075, ""colsample_bytree"": 0.6870761961280168, ""gamma"": 0.3906884560255355, ""reg_alpha"": 0.01853060279816077, ""reg_lambda"": 0.11702088154220885}"
XGBoost,4,0.005443891484055506,TrialState.COMPLETE,0.0015824240944610581,"[0.003746499754043627, 0.005029557259054951, 0.007555617439067938]",1.084894,"{""objective"": ""reg:absoluteerror"", ""max_depth"": 8, ""min_child_weight"": 3.846579797600186, ""subsample"": 0.8481350279592919, ""colsample_bytree"": 0.690269984240235, ""gamma"": 2.0802720847112433, ""reg_alpha"": 0.0016184751726420518, ""reg_lambda"": 0.0073896784585731805}"
XGBoost,5,0.005589289197404379,TrialState.COMPLETE,0.0015055824163017432,"[0.003977272715369441, 0.005190631607308809, 0.007599963269534888]",0.789044,"{""objective"": ""reg:squarederror"", ""max_depth"": 8, ""min_child_weight"": 7.576899766921937, ""subsample"": 0.9648434057604025, ""colsample_bytree"": 0.5898216259233638, ""gamma"": 0.7839314496765808, ""reg_alpha"": 2.2294797942610678e-07, ""reg_lambda"": 0.03378449765619962}"
XGBoost,6,0.005559644868029128,TrialState.COMPLETE,0.0015081950693951348,"[0.0039716897766676924, 0.005120424326666989, 0.007586820500752704]",0.825738,"{""objective"": ""reg:pseudohubererror"", ""max_depth"": 4, ""min_child_weight"": 4.090279606561189, ""subsample"": 0.7942132374212119, ""colsample_bytree"": 0.6134159012386432, ""gamma"": 3.2087879230161587, ""reg_alpha"": 3.749412038685424e-07, ""reg_lambda"": 43.38624983446471}"
XGBoost,7,0.005578517585336627,TrialState.COMPLETE,0.0015106938247046496,"[0.003974980897138231, 0.005157667299117101, 0.00760290455975455]",0.779301,"{""objective"": ""reg:squarederror"", ""max_depth"": 7, ""min_child_weight"": 8.775430782323788, ""subsample"": 0.8780532256184443, ""colsample_bytree"": 0.8970716560086756, ""gamma"": 0.29617860693636144, ""reg_alpha"": 5.751973700119614e-05, ""reg_lambda"": 0.0035032024437630714}"
XGBoost,8,0.005584018203268116,TrialState.COMPLETE,0.00151034878607297,"[0.0039794062710583385, 0.005165404190977352, 0.007607244147768659]",0.969959,"{""objective"": ""reg:squarederror"", ""max_depth"": 2, ""min_child_weight"": 4.420805538872284, ""subsample"": 0.6963324949120362, ""colsample_bytree"": 0.8783227802521288, ""gamma"": 2.5502298854208525, ""reg_alpha"": 0.6770555345585373, ""reg_lambda"": 0.16554793541373172}"
XGBoost,9,0.005560077924608099,TrialState.COMPLETE,0.001507797969771425,"[0.003971740930484061, 0.0051221460721478035, 0.007586346771192432]",0.830904,"{""objective"": ""reg:pseudohubererror"", ""max_depth"": 5, ""min_child_weight"": 9.48063897950017, ""subsample"": 0.7722080183639759, ""colsample_bytree"": 0.7852297732218974, ""gamma"": 1.7101640734341985, ""reg_alpha"": 1.5692823650048649e-07, ""reg_lambda"": 0.003213502034232873}"
