stage,trial,fold,epoch,learning_rate,train_mae,valid_mae,train_rmse,valid_rmse,lr_strategy
xgb_optuna,0,1,1,0.1,0.00159488866805888,0.00378536854220622,0.00377667451713175,0.03189098075711248,constant_010
xgb_optuna,0,1,2,0.1,0.00159284116784033,0.00378322591285343,0.00377692669171377,0.03189089592316,constant_010
xgb_optuna,0,1,3,0.1,0.00159047548001921,0.00378075021279128,0.00377722148722386,0.03189079540633943,constant_010
xgb_optuna,0,1,4,0.1,0.00158781370146225,0.00377796476304748,0.00377755759423445,0.03189068646924715,constant_010
xgb_optuna,0,1,5,0.1,0.00158580097091633,0.00377585845534126,0.00377781482431997,0.03189060252221202,constant_010
xgb_optuna,0,1,6,0.1,0.00158327792138204,0.00377321820534661,0.00377814101808529,0.03189050080275346,constant_010
xgb_optuna,0,1,7,0.1,0.00158142193689267,0.00377127592312822,0.00377838364595767,0.03189042367533272,constant_010
xgb_optuna,0,1,8,0.1,0.00157939767338158,0.00376915756543115,0.00377865083674831,0.03189034081868296,constant_010
xgb_optuna,0,1,9,0.1,0.00157781768215115,0.0037675042576087,0.00377886127239008,0.03189028026300484,constant_010
xgb_optuna,0,1,10,0.1,0.00157622713472414,0.00376583969445131,0.00377907476000639,0.03189021274812965,constant_010
xgb_optuna,0,1,11,0.1,0.00157529365085158,0.00376486286644998,0.00377920083940216,0.03189017651012753,constant_010
xgb_optuna,0,1,12,0.1,0.00157401531402061,0.00376352511792978,0.00377937438847351,0.0318901249473702,constant_010
xgb_optuna,0,1,13,0.1,0.00157310001822335,0.0037625673050011,0.00377949931972511,0.03189008873217287,constant_010
xgb_optuna,0,1,14,0.1,0.0015722206280529,0.00376164701175489,0.00377961982672746,0.03189005229157852,constant_010
xgb_optuna,0,1,15,0.1,0.00157133263129788,0.00376071782566972,0.00377974208186741,0.03189001959164153,constant_010
xgb_optuna,0,1,16,0.1,0.00157014488442121,0.00375947486011892,0.0037799064030361,0.03188997131320331,constant_010
xgb_optuna,0,1,17,0.1,0.00156949976630666,0.0037587997093882,0.00377999600971657,0.03188994400629103,constant_010
xgb_optuna,0,1,18,0.1,0.00156821843669957,0.00375745883327178,0.00378017484185834,0.03188989304812488,constant_010
xgb_optuna,0,1,19,0.1,0.0015674024394703,0.0037566050077691,0.00378028929081485,0.03188986365008804,constant_010
xgb_optuna,0,1,20,0.1,0.00156691661278463,0.00375609653780875,0.00378035764596265,0.03188984238771264,constant_010
xgb_optuna,0,1,21,0.1,0.00156637089067207,0.00375552547539617,0.00378043460434149,0.0318898216472065,constant_010
xgb_optuna,0,1,22,0.1,0.00156551450459497,0.00375462933745511,0.00378055573938144,0.03188978908953596,constant_010
xgb_optuna,0,1,23,0.1,0.00156479195748604,0.00375387315495593,0.00378065835568836,0.03188975906422509,constant_010
xgb_optuna,0,1,24,0.1,0.00156465750702432,0.00375373243245583,0.00378067747951122,0.03188975298078908,constant_010
xgb_optuna,0,1,25,0.1,0.0015640882271467,0.00375313676619534,0.00378075860724387,0.03188973254183215,constant_010
xgb_optuna,0,1,26,0.1,0.00156367012786309,0.00375269918533419,0.00378081829369509,0.03188971443332708,constant_010
xgb_optuna,0,1,27,0.1,0.00156323886815124,0.00375224784472489,0.00378088004131124,0.03188969646160792,constant_010
xgb_optuna,0,1,28,0.1,0.00156263548997099,0.00375161643109291,0.0037809666018348,0.03188967276423653,constant_010
xgb_optuna,0,1,29,0.1,0.00156263548997099,0.00375161643109291,0.0037809666018348,0.03188967276423653,constant_010
xgb_optuna,0,1,30,0.1,0.00156250326551718,0.00375147814417915,0.00378098561038172,0.03188967030092721,constant_010
xgb_optuna,0,1,31,0.1,0.00156233803004825,0.0037513051347396,0.0037810093566106,0.03188966088518431,constant_010
xgb_optuna,0,1,32,0.1,0.00156233803004825,0.0037513051347396,0.0037810093566106,0.03188966088518431,constant_010
xgb_optuna,0,1,33,0.1,0.00156233803004825,0.0037513051347396,0.0037810093566106,0.03188966088518431,constant_010
xgb_optuna,0,1,34,0.1,0.00156208288897117,0.0037510381791819,0.00378104606719979,0.03188965226166578,constant_010
xgb_optuna,0,1,35,0.1,0.00156210741712044,0.00375106381309775,0.00378104253193198,0.03188965204959403,constant_010
xgb_optuna,0,1,36,0.1,0.00156180051278412,0.00375074265914926,0.00378108674557215,0.03188964027131119,constant_010
xgb_optuna,0,1,37,0.1,0.00156122981384264,0.00375014550199891,0.00378116914499648,0.03188961996882218,constant_010
xgb_optuna,0,1,38,0.1,0.00156122981384264,0.00375014550199891,0.00378116914499648,0.03188961996882218,constant_010
xgb_optuna,0,1,39,0.1,0.00156052545151668,0.00374940833013066,0.00378127114567192,0.03188959003000257,constant_010
xgb_optuna,0,1,40,0.1,0.00156001397311458,0.00374887316308559,0.00378134541191819,0.03188957286792948,constant_010
xgb_optuna,0,1,41,0.1,0.00155991544981831,0.00374876998413053,0.00378135971481031,0.03188956650827528,constant_010
xgb_optuna,0,1,42,0.1,0.00155965590331613,0.00374849842505094,0.00378139747604019,0.03188955797538076,constant_010
xgb_optuna,0,1,43,0.1,0.00155965590331613,0.00374849842505094,0.00378139747604019,0.03188955797538076,constant_010
xgb_optuna,0,1,44,0.1,0.00155965590331613,0.00374849842505094,0.00378139747604019,0.03188955797538076,constant_010
xgb_optuna,0,1,45,0.1,0.00155941139980702,0.00374824259663534,0.00378143308957091,0.03188954931524426,constant_010
xgb_optuna,0,1,46,0.1,0.00155941139980702,0.00374824259663534,0.00378143308957091,0.03188954931524426,constant_010
xgb_optuna,0,1,47,0.1,0.00155915532642582,0.00374797454263396,0.00378147044475775,0.03188953713894374,constant_010
xgb_optuna,0,1,48,0.1,0.00155927109455238,0.00374809575109879,0.00378145353207682,0.03188954333473982,constant_010
xgb_optuna,0,1,49,0.1,0.00155913041109231,0.00374794851503798,0.00378147407715798,0.03188953736537558,constant_010
xgb_optuna,0,1,50,0.1,0.00155886902554839,0.00374767492137247,0.00378151225400698,0.03188952524678682,constant_010
xgb_optuna,0,1,51,0.1,0.00155890070486807,0.003747708132519,0.00378150761522419,0.03188952857764705,constant_010
xgb_optuna,0,1,52,0.1,0.00155895713765738,0.00374776721680894,0.0037814993708707,0.03188953168394699,constant_010
xgb_optuna,0,1,53,0.1,0.00155900829475728,0.00374782068202559,0.00378149191754981,0.03188953122979537,constant_010
xgb_optuna,0,1,54,0.1,0.00155881716881133,0.00374762073377456,0.00378151982174823,0.03188952571693542,constant_010
xgb_optuna,0,1,55,0.1,0.00155867719982702,0.00374747423815188,0.00378154026899669,0.03188951973798936,constant_010
xgb_optuna,0,1,56,0.1,0.0015590486749435,0.00374786298704303,0.00378148601782644,0.03188953448249025,constant_010
xgb_optuna,0,1,57,0.1,0.0015590486749435,0.00374786298704303,0.00378148601782644,0.03188953448249025,constant_010
xgb_optuna,0,1,58,0.1,0.00155903194772078,0.00374784551321991,0.0037814884678024,0.03188953463603444,constant_010
xgb_optuna,0,1,59,0.1,0.00155903194772078,0.00374784551321991,0.0037814884678024,0.03188953463603444,constant_010
xgb_optuna,0,1,60,0.1,0.00155889255481146,0.0037476996249553,0.00378150880222042,0.03188952865422694,constant_010
xgb_optuna,0,1,61,0.1,0.00155889255481146,0.0037476996249553,0.00378150880222042,0.03188952865422694,constant_010
xgb_optuna,0,1,62,0.1,0.00155858955043924,0.00374738253806441,0.00378155308885319,0.03188951691527468,constant_010
xgb_optuna,0,1,63,0.1,0.00155858955043924,0.00374738253806441,0.00378155308885319,0.03188951691527468,constant_010
xgb_optuna,0,1,64,0.1,0.0015586342547102,0.00374742924435703,0.00378154657715228,0.0318895165067312,constant_010
xgb_optuna,0,1,65,0.1,0.0015586535925886,0.00374744956513328,0.0037815437315306,0.03188951994669998,constant_010
xgb_optuna,0,1,66,0.1,0.0015586535925886,0.00374744956513328,0.0037815437315306,0.03188951994669998,constant_010
xgb_optuna,0,1,67,0.1,0.00155868613262296,0.00374748357015239,0.00378153898521291,0.0318895196578398,constant_010
xgb_optuna,0,1,68,0.1,0.00155821844825854,0.00374699417493486,0.00378160744633961,0.03188950218084794,constant_010
xgb_optuna,0,1,69,0.1,0.00155853900944633,0.00374732961302814,0.00378156051393083,0.03188951375443132,constant_010
xgb_optuna,0,1,70,0.1,0.00155851513508257,0.0037473046596325,0.00378156401642199,0.03188951396942986,constant_010
xgb_optuna,0,1,71,0.1,0.00155860977218943,0.00374740367129163,0.00378155016303177,0.0318895167338451,constant_010
