stage,trial,fold,epoch,learning_rate,train_mae,valid_mae,train_rmse,valid_rmse,lr_strategy
lr_search,,1,1,0.03,0.001760674229004,0.00398596903565958,0.00372271321041472,0.03189462640354841,constant_003
lr_search,,1,2,0.03,0.00175919903737523,0.00398502835933858,0.00371945973996228,0.03189424011188446,constant_003
lr_search,,1,3,0.03,0.00175778417839568,0.00398577611067795,0.00371599848498297,0.0318937562642093,constant_003
lr_search,,1,4,0.03,0.00175510690802368,0.00398725645157626,0.00371211064105194,0.03189375202228337,constant_003
lr_search,,1,5,0.03,0.00175310055526584,0.00398524201846207,0.00370957838891866,0.03189231982755918,constant_003
lr_search,,1,6,0.03,0.00175081497269912,0.00398539406867518,0.00370619204690196,0.03189206613621122,constant_003
lr_search,,1,7,0.03,0.00174998983436951,0.00398633926191542,0.00370399360972486,0.03189117973597989,constant_003
lr_search,,1,8,0.03,0.00174818955063499,0.00398634160553755,0.00370074482009455,0.03189088914097994,constant_003
lr_search,,1,9,0.03,0.00174746947981086,0.00398641568078431,0.00369851600326368,0.03189018052073781,constant_003
lr_search,,1,10,0.03,0.00174603266936516,0.00398585652688191,0.0036965481439359,0.03188992036818919,constant_003
lr_search,,1,11,0.03,0.00174550767652579,0.00398735314973588,0.00369425039562987,0.03188949776871745,constant_003
lr_search,,1,12,0.03,0.0017444872684665,0.00399019233895283,0.00369130030630379,0.03188911604096648,constant_003
lr_search,,1,13,0.03,0.0017436521528009,0.00399095148217283,0.00368858856408361,0.03188915134676693,constant_003
lr_search,,1,14,0.03,0.00174247069703703,0.00399054937151835,0.00368653113800143,0.0318883247587455,constant_003
lr_search,,1,15,0.03,0.00174195149467169,0.00399090664351008,0.00368437066847694,0.03188651227882983,constant_003
lr_search,,1,16,0.03,0.00174133582826277,0.00399140961178638,0.00368202420426527,0.03188655787817007,constant_003
lr_search,,1,17,0.03,0.00174115435395001,0.00399120747790722,0.00368027814177087,0.0318863243358181,constant_003
lr_search,,1,18,0.03,0.00174003139757028,0.00399140030068433,0.00367756583902361,0.03188386384616676,constant_003
lr_search,,1,19,0.03,0.00173930517735348,0.00399279597409642,0.00367504641768456,0.03188313725073601,constant_003
lr_search,,1,20,0.03,0.00173937512153305,0.00399401047602906,0.00367266047303336,0.03188313585031342,constant_003
lr_search,,1,21,0.03,0.00173934505299266,0.00399462440949411,0.00367042374087602,0.03188311384738884,constant_003
lr_search,,1,22,0.03,0.00173811291581012,0.00399456986818051,0.00366870100690667,0.03188401659485351,constant_003
lr_search,,2,1,0.03,0.00328505265637722,0.00521973586559859,0.0234473069518156,0.01228238533434611,constant_003
lr_search,,2,2,0.03,0.00327955030208174,0.00522821756443496,0.02311176066053297,0.01227097351458935,constant_003
lr_search,,2,3,0.03,0.00327811581673501,0.00523907429205608,0.0228674581112542,0.01236917526377168,constant_003
lr_search,,2,4,0.03,0.003275301906687,0.00524818879727708,0.02263276475774209,0.01243294844776235,constant_003
lr_search,,2,5,0.03,0.00326118931031985,0.0052534405710262,0.02216940529440608,0.01246502893828079,constant_003
lr_search,,2,6,0.03,0.00325863654117361,0.00526447485903659,0.02194688599232604,0.01258863453453142,constant_003
lr_search,,2,7,0.03,0.00325386068738221,0.00527576336506481,0.0216341778409979,0.01259188659656807,constant_003
lr_search,,2,8,0.03,0.00323745789836075,0.00527918781984101,0.02113088886883234,0.01260305785773116,constant_003
lr_search,,2,9,0.03,0.00322303892258743,0.00528351256361191,0.02066224248115145,0.01262832585190572,constant_003
lr_search,,2,10,0.03,0.00320883618459191,0.00528733983495985,0.02022075729669663,0.01264195557048334,constant_003
lr_search,,2,11,0.03,0.00320764704461496,0.00529587595945112,0.02006087929455938,0.01274336727687388,constant_003
lr_search,,2,12,0.03,0.00319522662643224,0.00529966599900703,0.01967973252613331,0.01279283711535716,constant_003
lr_search,,2,13,0.03,0.00319722114968322,0.00530280953933344,0.01952313755495632,0.01278999350414073,constant_003
lr_search,,2,14,0.03,0.00318676240810022,0.00530833155903378,0.01914732396756165,0.01282234117335003,constant_003
lr_search,,2,15,0.03,0.00318398040828649,0.00532078869581717,0.01890404692090226,0.01284486871305213,constant_003
lr_search,,2,16,0.03,0.00317326205256166,0.00532501960664158,0.01852616066801045,0.01289109887596993,constant_003
lr_search,,2,17,0.03,0.00317094488761792,0.00533727912172447,0.0183007513739601,0.01291938746449783,constant_003
lr_search,,2,18,0.03,0.00316055937962862,0.00533979805032252,0.01798709704574017,0.01294854322440344,constant_003
lr_search,,2,19,0.03,0.0031507628544147,0.00534257379462311,0.01765760182365038,0.01297191315374395,constant_003
lr_search,,2,20,0.03,0.00314259360931361,0.00534587684268282,0.01736077949700666,0.01300865300904569,constant_003
lr_search,,2,21,0.03,0.00314198328907566,0.00535348874256742,0.01717064738080762,0.01304735666413426,constant_003
lr_search,,3,1,0.03,0.00444407123190566,0.0076204450065868,0.01781779733293427,0.01407698860075977,constant_003
lr_search,,3,2,0.03,0.00444252125834131,0.00761975320609121,0.01771239127655784,0.01407620101622595,constant_003
lr_search,,3,3,0.03,0.00444400485858151,0.00762199036339959,0.01759652703883588,0.01409011341039226,constant_003
lr_search,,3,4,0.03,0.00444473625117352,0.00762295570321976,0.01748021468527689,0.01409772362726129,constant_003
lr_search,,3,5,0.03,0.00443952829162209,0.00762350308310242,0.01723324508961899,0.01410557345064552,constant_003
lr_search,,3,6,0.03,0.00443824427682421,0.00762412092360717,0.01714213966556342,0.01411182956108307,constant_003
lr_search,,3,7,0.03,0.00443765557803936,0.00762497092229681,0.01704579439327521,0.01411187305141161,constant_003
